title,url,region,price,price_display,bedrooms,bathrooms,furnishing,size_sqm,image_url
"Furnished 1bdrm Condo in Meri 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-meri-40-60-yeka-for-rent-kzJnQirjraX7llVv1fAZhWof.html?page=3&pos=11&cur_pos=11&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",23000,"ETB 23,000",1,1,Furnished,61,https://pictures-ethiopia.jijistatic.com/5632735_MzAwLTY2OC1hZDNlYTYzYTZkLTE.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-jFajUkc0v40hLK70qcTCOxpC.html?page=3&pos=12&cur_pos=12&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",14000,"ETB 14,000",2,1,Furnished,64,https://pictures-ethiopia.jijistatic.com/7328448_MzAwLTY2OC1mYTMwMDdhYzlj.webp
"2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-tHjuzV2UY9OZKUFzOcdNp4I2.html?page=3&pos=13&cur_pos=13&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",12000,"ETB 12,000",2,1,Semi-Furnished,72,https://pictures-ethiopia.jijistatic.com/7755068_MzAwLTY2OC1hMjZjNWExMGIy.webp
"Furnished 2bdrm Condo in Ayat 49 (Tanker), Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-tanker-yeka-for-rent-fy96EEKuUun00odfMqxsDvrk.html?page=4&pos=1&cur_pos=1&ads_per_page=13&ads_count=245&lid=nhXxszYWhhYLxxWU,"Addis Ababa, Yeka",17000,"ETB 17,000",2,1,Furnished,86,https://pictures-ethiopia.jijistatic.com/6592648_MzAwLTY2OC02YThhZGU0MzZk.webp
"Furnished 3bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-49-40-60-yeka-for-rent-7raCcUVtcQYL6T6nNqh5PoL.html?page=4&pos=2&cur_pos=2&ads_per_page=13&ads_count=245&lid=nhXxszYWhhYLxxWU,"Addis Ababa, Yeka",30000,"ETB 30,000",3,2,Furnished,91,https://pictures-ethiopia.jijistatic.com/6945440_MzAwLTY2OC0yMjM3YWQ5ZGE0.webp
"Furnished 2bdrm Condo in Kibir Demena, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-kibir-demena-yeka-for-rent-tOJj5KjQACG7DUiEOZeA4ykB.html?page=4&pos=3&cur_pos=3&ads_per_page=13&ads_count=245&lid=nhXxszYWhhYLxxWU,"Addis Ababa, Yeka",14000,"ETB 14,000",2,1,Furnished,72,https://pictures-ethiopia.jijistatic.com/5841094_MzAwLTY2OC05NzU1ZDgzOTZmLTE.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-jNT13NsCWqaouHRR5IYp83HM.html?page=4&pos=4&cur_pos=4&ads_per_page=13&ads_count=245&lid=nhXxszYWhhYLxxWU,"Addis Ababa, Yeka",24000,"ETB 24,000",2,1,Furnished,76,https://pictures-ethiopia.jijistatic.com/7905087_MzAwLTY2OC02YTcyYTVhNzIy.webp
"Furnished 2bdrm Condo in Ayat Mekedonia (Kibr, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-kibr-yeka-for-rent-fJEFTEkm3XlNGKsGKE9ZZg8u.html?page=4&pos=5&cur_pos=5&ads_per_page=13&ads_count=245&lid=nhXxszYWhhYLxxWU,"Addis Ababa, Yeka",10000,"ETB 10,000",2,1,Furnished,72,https://pictures-ethiopia.jijistatic.com/6602726_MzAwLTY2OC1kY2VkNWEyOGQ1.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-tGVRwDF1R87ID95sxnILn3ot.html?page=4&pos=6&cur_pos=6&ads_per_page=13&ads_count=245&lid=nhXxszYWhhYLxxWU,"Addis Ababa, Yeka",15000,"ETB 15,000",2,1,Furnished,76,https://pictures-ethiopia.jijistatic.com/6914872_MzAwLTY2OC0zZGQ1ZDk3Mjg3.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-mVc8QQlQVAELuJ81gPpulgAu.html?page=4&pos=7&cur_pos=7&ads_per_page=13&ads_count=245&lid=nhXxszYWhhYLxxWU,"Addis Ababa, Yeka",12000,"ETB 12,000",2,1,Furnished,81,https://pictures-ethiopia.jijistatic.com/6676658_MzAwLTY2OC04OTQ1NGZmYjNm.webp
